t_s,pn_m,pe_m,pd_m,u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,roll_rad,pitch_rad,yaw_rad,alt_m,airspeed_mps,alpha_rad,beta_rad,aileron_rad,elevator_rad,rudder_rad,throttle_01,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm
0.210000,3.250813,1.652580,-58.982696,17.722362,0.116367,9.225569,-1.487561,2.536648,0.016779,-0.058749,-0.065175,0.437836,58.982696,19.980160,-0.479961,0.005824,-0.350000,0.350000,-0.026105,0.458014,30.013339,0.485697,224.634023,-0.069752,6.881933,-0.183465
0.220000,3.403015,1.731532,-58.872726,17.587370,-0.042896,11.124559,-1.502150,3.548073,0.007041,-0.073599,-0.035080,0.435949,58.872726,20.810412,-0.563997,-0.002061,-0.350000,0.350000,-0.025309,0.443509,37.864840,-0.186484,286.360991,-0.106157,9.449676,-0.239700
0.230000,3.556064,1.812047,-58.747322,17.284620,-0.232241,13.599413,-1.404015,4.948103,-0.004351,-0.088043,0.006869,0.432547,58.747322,21.994455,-0.666636,-0.010559,-0.273654,0.350000,-0.022793,0.407646,50.785833,-1.067097,378.090315,0.447105,13.211997,-0.301508
0.240000,3.710939,1.895208,-58.601915,16.687380,-0.438834,16.918875,-1.143957,6.942677,-0.019246,-0.100904,0.065419,0.426850,58.601915,23.767826,-0.792287,-0.018464,-0.157237,0.350000,-0.020119,0.362612,74.470829,-2.179030,524.743429,1.254867,19.205930,-0.379768
0.250000,3.869923,1.983078,-58.429321,15.521514,-0.636403,21.581975,-0.756156,10.198330,-0.039560,-0.111290,0.149490,0.417505,58.429321,26.591428,-0.947308,-0.023935,-0.052049,0.281140,-0.016583,0.298541,122.318936,-3.535662,785.355537,1.902505,31.983376,-0.461369
0.260000,4.038852,2.080064,-58.217176,12.792951,-0.772329,28.800509,-0.191289,18.523663,-0.066676,-0.119646,0.289371,0.400262,58.217176,31.523410,-1.152783,-0.024503,0.059989,-0.350000,-0.011086,0.188748,239.954439,-5.086765,1343.114507,2.870902,81.747300,-0.502091
0.270000,4.236256,2.197845,-57.941600,6.025608,-0.634928,41.119463,1.062564,32.685583,-0.115223,-0.129099,0.535183,0.365631,57.941600,41.563461,-1.425293,-0.015277,0.266074,-0.350000,-0.003207,0.000000,616.917374,-5.513463,2886.924891,7.137798,159.823081,-0.210628
0.280000,4.538138,2.376122,-57.556902,-13.035082,0.432837,65.022488,3.079202,65.575139,-0.186668,-0.180352,0.995709,0.264638,57.556902,66.317604,-1.570796,0.006527,0.350000,-0.350000,0.013443,0.000000,1897.614362,5.997071,8100.223430,14.156976,397.123859,2.724223
0.290000,5.266594,2.746223,-57.107000,-82.468332,4.683289,103.178633,6.790201,159.657926,0.083505,-2.927070,1.105521,-2.577944,57.107000,132.169548,-1.570796,0.035441,0.350000,-0.350000,0.048860,0.000000,7537.532023,129.351723,32174.974280,32.954305,1271.325006,27.329622
0.300000,6.579738,3.172622,-58.335220,-150.764027,26.669660,-271.729490,7.044475,-40.739708,13.928076,-0.727060,-1.294760,1.055105,58.335220,311.894178,1.570796,0.085613,0.350000,-0.350000,0.350000,0.000000,41975.867851,1740.095625,-179179.665096,394.508282,-11829.522034,448.431950
0.310000,37344.376182,-1609.838629,-45455.336673,-26815392.756620,5731237.942631,-8072049.229887,10688744.458735,8772888.561502,-3559416.789551,2.716098,0.638450,2.611342,45455.336673,28584442.548642,1.570796,0.201870,-0.350000,0.350000,-0.350000,0.000000,352527764868367.375000,34458653436479.835938,-1504812406248226.500000,-48171960599271.335938,-158408566928472.125000,6218109440370.513672
