t_s,pn_m,pe_m,pd_m,u_mps,v_mps,w_mps,p_rps,q_rps,r_rps,roll_rad,pitch_rad,yaw_rad,alt_m,airspeed_mps,alpha_rad,beta_rad,aileron_rad,elevator_rad,rudder_rad,throttle_01,fx_n,fy_n,fz_n,mx_nm,my_nm,mz_nm,wind_n_mps,wind_e_mps,wind_d_mps,u_air_mps,v_air_mps,w_air_mps,aileron_cmd_rad,elevator_cmd_rad,rudder_cmd_rad,throttle_cmd_01,baro_valid,gps_valid
0.830000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.350000,0.350000,0.350000,1.000000,1,1
0.840000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.350000,0.350000,0.350000,1.000000,1,1
0.850000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.350000,0.350000,0.350000,1.000000,1,1
0.860000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.350000,0.350000,0.350000,1.000000,1,1
0.870000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.350000,0.350000,0.350000,1.000000,1,1
0.880000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.350000,0.350000,0.350000,1.000000,1,1
0.890000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.350000,0.350000,0.350000,1.000000,1,1
0.900000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.350000,0.350000,0.350000,1.000000,1,1
0.910000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.350000,0.350000,0.350000,1.000000,1,1
0.920000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.350000,0.350000,0.350000,1.000000,1,1
0.930000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.350000,0.350000,0.350000,1.000000,1,1
0.940000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.350000,0.350000,0.350000,1.000000,1,1
0.950000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.350000,0.350000,0.350000,1.000000,1,1
0.960000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.350000,0.350000,0.350000,1.000000,1,1
0.970000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.350000,0.350000,0.350000,1.000000,1,1
0.980000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.350000,0.350000,0.350000,1.000000,1,1
0.990000,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.001000,nan,1.570796,0.350000,0.350000,0.350000,1.000000,nan,nan,nan,nan,nan,nan,0.000000,0.000000,0.000000,nan,nan,nan,0.350000,0.350000,0.350000,1.000000,1,1
